endpoint_id,logical_operation,provider,region,quality_level,model_name,base_latency_sec,latency_per_mb,fixed_cost,cost_per_mb,storage_cost_per_mb,is_virtual
shot_detection_gcp_europe-west1_q2,Shot Detection,GCP,europe-west1,Q2,,14.76391154086701,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_asia-east1_q2,Shot Detection,GCP,asia-east1,Q2,,19.77980885409944,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_aws_us-west-2_q2,Shot Detection,AWS,us-west-2,Q2,,21.8745819625238,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_us-east-2_q2,Shot Detection,AWS,us-east-2,Q2,,12.664584302663014,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_ap-southeast-1_q2,Shot Detection,AWS,ap-southeast-1,Q2,,20.1568386907478,0.0032520222797619,0.0,0.000225,8.138020833333334e-07,False
shot_detection_aws_eu-central-1_q2,Shot Detection,AWS,eu-central-1,Q2,,17.337931124127394,0.0032520222797619,0.0,0.0001999999999999,7.975260416666667e-07,False
shot_detection_aliyun_cn-shanghai_q2,Shot Detection,Aliyun,cn-shanghai,Q2,,17.48502876795886,0.0032520222797619,0.0,0.0001,5.631510416666666e-07,False
shot_detection_gcp_us-east1_q3,Shot Detection,GCP,us-east1,Q3,,19.108473242631582,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_us-west1_q3,Shot Detection,GCP,us-west1,Q3,,17.4876365496486,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_europe-west1_q3,Shot Detection,GCP,europe-west1,Q3,,14.76391154086701,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_gcp_asia-east1_q3,Shot Detection,GCP,asia-east1,Q3,,19.77980885409944,0.0032520222797619,0.0,0.0001666666666666,6.510416666666666e-07,False
shot_detection_aws_us-west-2_q3,Shot Detection,AWS,us-west-2,Q3,,21.8745819625238,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_us-east-2_q3,Shot Detection,AWS,us-east-2,Q3,,12.664584302663014,0.0032520222797619,0.0,0.0001666666666666,7.486979166666667e-07,False
shot_detection_aws_ap-southeast-1_q3,Shot Detection,AWS,ap-southeast-1,Q3,,20.1568386907478,0.0032520222797619,0.0,0.000225,8.138020833333334e-07,False
shot_detection_aws_eu-central-1_q3,Shot Detection,AWS,eu-central-1,Q3,,17.337931124127394,0.0032520222797619,0.0,0.0001999999999999,7.975260416666667e-07,False
shot_detection_aliyun_cn-shanghai_q3,Shot Detection,Aliyun,cn-shanghai,Q3,,17.48502876795886,0.0032520222797619,0.0,0.0001,5.631510416666666e-07,False
video_split_and_sample_gcp_us-east1_q1,Video Split & Sample,GCP,us-east1,Q1,,3.6544801120134016,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_us-west1_q1,Video Split & Sample,GCP,us-west1,Q1,,3.835051471635739,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_europe-west1_q1,Video Split & Sample,GCP,europe-west1,Q1,,2.796681387447501,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_asia-east1_q1,Video Split & Sample,GCP,asia-east1,Q1,,2.8553733024884793,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_aws_us-west-2_q1,Video Split & Sample,AWS,us-west-2,Q1,,2.423056997045983,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_us-east-2_q1,Video Split & Sample,AWS,us-east-2,Q1,,3.006060720672154,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_ap-southeast-1_q1,Video Split & Sample,AWS,ap-southeast-1,Q1,,3.2094330045718267,0.0012924367797619,0.0,6.666666666666667e-06,8.138020833333334e-07,False
video_split_and_sample_aws_eu-central-1_q1,Video Split & Sample,AWS,eu-central-1,Q1,,3.608945828688662,0.0012924367797619,0.0,6.666666666666667e-06,7.975260416666667e-07,False
video_split_and_sample_aliyun_cn-shanghai_q1,Video Split & Sample,Aliyun,cn-shanghai,Q1,,2.2554550302658076,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_cn-beijing_q1,Video Split & Sample,Aliyun,cn-beijing,Q1,,3.6227099354272823,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_us-east-1_q1,Video Split & Sample,Aliyun,us-east-1,Q1,,2.1475136828606467,0.0012924367797619,0.0,3.666666666666667e-06,5.208333333333334e-07,False
video_split_and_sample_aliyun_ap-southeast-1_q1,Video Split & Sample,Aliyun,ap-southeast-1,Q1,,3.005784895725883,0.0012924367797619,0.0,3.666666666666667e-06,5.533854166666667e-07,False
video_split_and_sample_azure_westus2_q1,Video Split & Sample,Azure,westus2,Q1,,3.7968809277239304,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_eastus_q1,Video Split & Sample,Azure,eastus,Q1,,3.4157490704566538,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_westeurope_q1,Video Split & Sample,Azure,westeurope,Q1,,3.6060556543582303,0.0012924367797619,0.0,5.2e-06,6.770833333333333e-07,False
video_split_and_sample_azure_southeastasia_q1,Video Split & Sample,Azure,southeastasia,Q1,,3.221813811979549,0.0012924367797619,0.0,7.4e-06,6.770833333333333e-07,False
video_split_and_sample_gcp_us-east1_q2,Video Split & Sample,GCP,us-east1,Q2,,3.6544801120134016,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_us-west1_q2,Video Split & Sample,GCP,us-west1,Q2,,3.835051471635739,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_europe-west1_q2,Video Split & Sample,GCP,europe-west1,Q2,,2.796681387447501,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_asia-east1_q2,Video Split & Sample,GCP,asia-east1,Q2,,2.8553733024884793,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_aws_us-west-2_q2,Video Split & Sample,AWS,us-west-2,Q2,,2.423056997045983,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_us-east-2_q2,Video Split & Sample,AWS,us-east-2,Q2,,3.006060720672154,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_ap-southeast-1_q2,Video Split & Sample,AWS,ap-southeast-1,Q2,,3.2094330045718267,0.0012924367797619,0.0,6.666666666666667e-06,8.138020833333334e-07,False
video_split_and_sample_aws_eu-central-1_q2,Video Split & Sample,AWS,eu-central-1,Q2,,3.608945828688662,0.0012924367797619,0.0,6.666666666666667e-06,7.975260416666667e-07,False
video_split_and_sample_aliyun_cn-shanghai_q2,Video Split & Sample,Aliyun,cn-shanghai,Q2,,2.2554550302658076,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_cn-beijing_q2,Video Split & Sample,Aliyun,cn-beijing,Q2,,3.6227099354272823,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_us-east-1_q2,Video Split & Sample,Aliyun,us-east-1,Q2,,2.1475136828606467,0.0012924367797619,0.0,3.666666666666667e-06,5.208333333333334e-07,False
video_split_and_sample_aliyun_ap-southeast-1_q2,Video Split & Sample,Aliyun,ap-southeast-1,Q2,,3.005784895725883,0.0012924367797619,0.0,3.666666666666667e-06,5.533854166666667e-07,False
video_split_and_sample_azure_westus2_q2,Video Split & Sample,Azure,westus2,Q2,,3.7968809277239304,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_eastus_q2,Video Split & Sample,Azure,eastus,Q2,,3.4157490704566538,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_westeurope_q2,Video Split & Sample,Azure,westeurope,Q2,,3.6060556543582303,0.0012924367797619,0.0,5.2e-06,6.770833333333333e-07,False
video_split_and_sample_azure_southeastasia_q2,Video Split & Sample,Azure,southeastasia,Q2,,3.221813811979549,0.0012924367797619,0.0,7.4e-06,6.770833333333333e-07,False
video_split_and_sample_gcp_us-east1_q3,Video Split & Sample,GCP,us-east1,Q3,,3.6544801120134016,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_us-west1_q3,Video Split & Sample,GCP,us-west1,Q3,,3.835051471635739,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_europe-west1_q3,Video Split & Sample,GCP,europe-west1,Q3,,2.796681387447501,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_gcp_asia-east1_q3,Video Split & Sample,GCP,asia-east1,Q3,,2.8553733024884793,0.0012924367797619,0.0,4e-06,6.510416666666666e-07,False
video_split_and_sample_aws_us-west-2_q3,Video Split & Sample,AWS,us-west-2,Q3,,2.423056997045983,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_us-east-2_q3,Video Split & Sample,AWS,us-east-2,Q3,,3.006060720672154,0.0012924367797619,0.0,6.666666666666667e-06,7.486979166666667e-07,False
video_split_and_sample_aws_ap-southeast-1_q3,Video Split & Sample,AWS,ap-southeast-1,Q3,,3.2094330045718267,0.0012924367797619,0.0,6.666666666666667e-06,8.138020833333334e-07,False
video_split_and_sample_aws_eu-central-1_q3,Video Split & Sample,AWS,eu-central-1,Q3,,3.608945828688662,0.0012924367797619,0.0,6.666666666666667e-06,7.975260416666667e-07,False
video_split_and_sample_aliyun_cn-shanghai_q3,Video Split & Sample,Aliyun,cn-shanghai,Q3,,2.2554550302658076,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_cn-beijing_q3,Video Split & Sample,Aliyun,cn-beijing,Q3,,3.6227099354272823,0.0012924367797619,0.0,3.666666666666667e-06,5.631510416666666e-07,False
video_split_and_sample_aliyun_us-east-1_q3,Video Split & Sample,Aliyun,us-east-1,Q3,,2.1475136828606467,0.0012924367797619,0.0,3.666666666666667e-06,5.208333333333334e-07,False
video_split_and_sample_aliyun_ap-southeast-1_q3,Video Split & Sample,Aliyun,ap-southeast-1,Q3,,3.005784895725883,0.0012924367797619,0.0,3.666666666666667e-06,5.533854166666667e-07,False
video_split_and_sample_azure_westus2_q3,Video Split & Sample,Azure,westus2,Q3,,3.7968809277239304,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_eastus_q3,Video Split & Sample,Azure,eastus,Q3,,3.4157490704566538,0.0012924367797619,0.0,5.2e-06,5.989583333333334e-07,False
video_split_and_sample_azure_westeurope_q3,Video Split & Sample,Azure,westeurope,Q3,,3.6060556543582303,0.0012924367797619,0.0,5.2e-06,6.770833333333333e-07,False
video_split_and_sample_azure_southeastasia_q3,Video Split & Sample,Azure,southeastasia,Q3,,3.221813811979549,0.0012924367797619,0.0,7.4e-06,6.770833333333333e-07,False
video_caption_gcp_europe-west1_q1,Video Caption,GCP,europe-west1,Q1,Claude Haiku 4.5,0.59,6.274509803921569,0.0,0.0037337378680368,6.510416666666666e-07,False
video_caption_gcp_asia-east1_q1,Video Caption,GCP,asia-east1,Q1,Claude Haiku 4.5,0.59,6.274509803921569,0.0,0.0037337378680368,6.510416666666666e-07,False
video_caption_aws_us-west-2_q1,Video Caption,AWS,us-west-2,Q1,Claude Haiku 4.5,1.03,5.161290322580646,0.0,0.0033943071527607,7.486979166666667e-07,False
video_caption_aws_us-east-2_q1,Video Caption,AWS,us-east-2,Q1,Claude Haiku 4.5,1.03,5.161290322580646,0.0,0.0033943071527607,7.486979166666667e-07,False
video_caption_aws_ap-southeast-1_q1,Video Caption,AWS,ap-southeast-1,Q1,Claude Haiku 4.5,1.03,5.161290322580646,0.0,0.0033943071527607,8.138020833333334e-07,False
video_caption_aws_eu-central-1_q1,Video Caption,AWS,eu-central-1,Q1,Claude Haiku 4.5,1.03,5.161290322580646,0.0,0.0033943071527607,7.975260416666667e-07,False
video_caption_azure_westus2_q1,Video Caption,Azure,westus2,Q1,Claude Haiku 4.5,1.04,6.597938144329898,0.0,0.0033943071527607,5.989583333333334e-07,False
video_caption_azure_eastus_q1,Video Caption,Azure,eastus,Q1,Claude Haiku 4.5,1.04,6.597938144329898,0.0,0.0033943071527607,5.989583333333334e-07,False
video_caption_azure_westeurope_q1,Video Caption,Azure,westeurope,Q1,Claude Haiku 4.5,1.04,6.597938144329898,0.0,0.0033943071527607,6.770833333333333e-07,False
video_caption_azure_southeastasia_q1,Video Caption,Azure,southeastasia,Q1,Claude Haiku 4.5,1.04,6.597938144329898,0.0,0.0033943071527607,6.770833333333333e-07,False
video_caption_anthropic_global_q1,Video Caption,Anthropic,global,Q1,Claude Haiku 4.5,0.85,6.2135922330097095,0.0,0.0033943071527607,0.0,False
video_caption_gcp_europe-west1_q2,Video Caption,GCP,europe-west1,Q2,Claude Sonnet 4.5,1.03,14.222222222222223,0.0,0.0111966545597329,6.510416666666666e-07,False
video_caption_aws_us-west-2_q2,Video Caption,AWS,us-west-2,Q2,Claude Sonnet 4.5,1.73,11.636363636363638,0.0,0.0101787768724845,7.486979166666667e-07,False
video_caption_aws_us-east-2_q2,Video Caption,AWS,us-east-2,Q2,Claude Sonnet 4.5,1.73,11.636363636363638,0.0,0.0101787768724845,7.486979166666667e-07,False
video_caption_aws_ap-southeast-1_q2,Video Caption,AWS,ap-southeast-1,Q2,Claude Sonnet 4.5,1.73,11.636363636363638,0.0,0.0101787768724845,8.138020833333334e-07,False
video_caption_aws_eu-central-1_q2,Video Caption,AWS,eu-central-1,Q2,Claude Sonnet 4.5,1.73,11.636363636363638,0.0,0.0101787768724845,7.975260416666667e-07,False
video_caption_azure_westus2_q2,Video Caption,Azure,westus2,Q2,Claude Sonnet 4.5,1.92,13.913043478260873,0.0,0.0101787768724845,5.989583333333334e-07,False
video_caption_azure_eastus_q2,Video Caption,Azure,eastus,Q2,Claude Sonnet 4.5,1.92,13.913043478260873,0.0,0.0101787768724845,5.989583333333334e-07,False
video_caption_azure_westeurope_q2,Video Caption,Azure,westeurope,Q2,Claude Sonnet 4.5,1.92,13.913043478260873,0.0,0.0101787768724845,6.770833333333333e-07,False
video_caption_azure_southeastasia_q2,Video Caption,Azure,southeastasia,Q2,Claude Sonnet 4.5,1.92,13.913043478260873,0.0,0.0101787768724845,6.770833333333333e-07,False
video_caption_anthropic_global_q2,Video Caption,Anthropic,global,Q2,Claude Sonnet 4.5,1.51,13.913043478260873,0.0,0.0101787768724845,0.0,False
video_caption_gcp_europe-west1_q3,Video Caption,GCP,europe-west1,Q3,Claude Opus 4.5,0.87,11.851851851851857,0.0,0.0186606672246016,6.510416666666666e-07,False
video_caption_aws_us-west-2_q3,Video Caption,AWS,us-west-2,Q3,Claude Opus 4.5,1.73,11.42857142857143,0.0,0.016964242931456,7.486979166666667e-07,False
video_caption_aws_us-east-2_q3,Video Caption,AWS,us-east-2,Q3,Claude Opus 4.5,1.73,11.42857142857143,0.0,0.016964242931456,7.486979166666667e-07,False
video_caption_aws_ap-southeast-1_q3,Video Caption,AWS,ap-southeast-1,Q3,Claude Opus 4.5,1.73,11.42857142857143,0.0,0.016964242931456,8.138020833333334e-07,False
video_caption_aws_eu-central-1_q3,Video Caption,AWS,eu-central-1,Q3,Claude Opus 4.5,1.73,11.42857142857143,0.0,0.016964242931456,7.975260416666667e-07,False
video_caption_azure_westus2_q3,Video Caption,Azure,westus2,Q3,Claude Opus 4.5,2.04,12.30769230769231,0.0,0.016964242931456,5.989583333333334e-07,False
video_caption_azure_eastus_q3,Video Caption,Azure,eastus,Q3,Claude Opus 4.5,2.04,12.30769230769231,0.0,0.016964242931456,5.989583333333334e-07,False
video_caption_azure_westeurope_q3,Video Caption,Azure,westeurope,Q3,Claude Opus 4.5,2.04,12.30769230769231,0.0,0.016964242931456,6.770833333333333e-07,False
video_caption_azure_southeastasia_q3,Video Caption,Azure,southeastasia,Q3,Claude Opus 4.5,2.04,12.30769230769231,0.0,0.016964242931456,6.770833333333333e-07,False
video_caption_anthropic_global_q3,Video Caption,Anthropic,global,Q3,Claude Opus 4.5,1.53,12.07547169811321,0.0,0.016964242931456,0.0,False
ocr_gcp_us-east1_q1,OCR,GCP,us-east1,Q1,,0.5168044833455436,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_us-west1_q1,OCR,GCP,us-west1,Q1,,0.5886784799107115,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_europe-west1_q1,OCR,GCP,europe-west1,Q1,,0.436061430110887,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_asia-east1_q1,OCR,GCP,asia-east1,Q1,,0.6433678428242008,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_aws_us-west-2_q1,OCR,AWS,us-west-2,Q1,,0.7112136526231018,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_us-east-2_q1,OCR,AWS,us-east-2,Q1,,0.620536836918476,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_ap-southeast-1_q1,OCR,AWS,ap-southeast-1,Q1,,0.6938450176557189,0.0,0.0,0.0033333333333333,8.138020833333334e-07,False
ocr_aws_eu-central-1_q1,OCR,AWS,eu-central-1,Q1,,0.4217057509783891,0.0,0.0,0.0033333333333333,7.975260416666667e-07,False
ocr_aliyun_cn-shanghai_q1,OCR,Aliyun,cn-shanghai,Q1,,0.5756571557078112,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_cn-beijing_q1,OCR,Aliyun,cn-beijing,Q1,,0.6099374324886678,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_us-east-1_q1,OCR,Aliyun,us-east-1,Q1,,0.5014064006351362,0.0,0.0,0.04,5.208333333333334e-07,False
ocr_aliyun_ap-southeast-1_q1,OCR,Aliyun,ap-southeast-1,Q1,,0.4184038985905543,0.0,0.0,0.04,5.533854166666667e-07,False
ocr_azure_westus2_q1,OCR,Azure,westus2,Q1,,0.5978175724056303,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_eastus_q1,OCR,Azure,eastus,Q1,,0.4981377095397335,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_westeurope_q1,OCR,Azure,westeurope,Q1,,0.5499380407195695,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
ocr_azure_southeastasia_q1,OCR,Azure,southeastasia,Q1,,0.6165512818422488,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
ocr_gcp_us-east1_q2,OCR,GCP,us-east1,Q2,,0.5168044833455436,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_us-west1_q2,OCR,GCP,us-west1,Q2,,0.5886784799107115,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_europe-west1_q2,OCR,GCP,europe-west1,Q2,,0.436061430110887,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_asia-east1_q2,OCR,GCP,asia-east1,Q2,,0.6433678428242008,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_aws_us-west-2_q2,OCR,AWS,us-west-2,Q2,,0.7112136526231018,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_us-east-2_q2,OCR,AWS,us-east-2,Q2,,0.620536836918476,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_ap-southeast-1_q2,OCR,AWS,ap-southeast-1,Q2,,0.6938450176557189,0.0,0.0,0.0033333333333333,8.138020833333334e-07,False
ocr_aws_eu-central-1_q2,OCR,AWS,eu-central-1,Q2,,0.4217057509783891,0.0,0.0,0.0033333333333333,7.975260416666667e-07,False
ocr_aliyun_cn-shanghai_q2,OCR,Aliyun,cn-shanghai,Q2,,0.5756571557078112,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_cn-beijing_q2,OCR,Aliyun,cn-beijing,Q2,,0.6099374324886678,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_us-east-1_q2,OCR,Aliyun,us-east-1,Q2,,0.5014064006351362,0.0,0.0,0.04,5.208333333333334e-07,False
ocr_aliyun_ap-southeast-1_q2,OCR,Aliyun,ap-southeast-1,Q2,,0.4184038985905543,0.0,0.0,0.04,5.533854166666667e-07,False
ocr_azure_westus2_q2,OCR,Azure,westus2,Q2,,0.5978175724056303,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_eastus_q2,OCR,Azure,eastus,Q2,,0.4981377095397335,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_westeurope_q2,OCR,Azure,westeurope,Q2,,0.5499380407195695,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
ocr_azure_southeastasia_q2,OCR,Azure,southeastasia,Q2,,0.6165512818422488,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
ocr_gcp_us-east1_q3,OCR,GCP,us-east1,Q3,,0.5168044833455436,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_us-west1_q3,OCR,GCP,us-west1,Q3,,0.5886784799107115,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_europe-west1_q3,OCR,GCP,europe-west1,Q3,,0.436061430110887,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_gcp_asia-east1_q3,OCR,GCP,asia-east1,Q3,,0.6433678428242008,0.0,0.0,0.005,6.510416666666666e-07,False
ocr_aws_us-west-2_q3,OCR,AWS,us-west-2,Q3,,0.7112136526231018,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_us-east-2_q3,OCR,AWS,us-east-2,Q3,,0.620536836918476,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
ocr_aws_ap-southeast-1_q3,OCR,AWS,ap-southeast-1,Q3,,0.6938450176557189,0.0,0.0,0.0033333333333333,8.138020833333334e-07,False
ocr_aws_eu-central-1_q3,OCR,AWS,eu-central-1,Q3,,0.4217057509783891,0.0,0.0,0.0033333333333333,7.975260416666667e-07,False
ocr_aliyun_cn-shanghai_q3,OCR,Aliyun,cn-shanghai,Q3,,0.5756571557078112,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_cn-beijing_q3,OCR,Aliyun,cn-beijing,Q3,,0.6099374324886678,0.0,0.0,0.04,5.631510416666666e-07,False
ocr_aliyun_us-east-1_q3,OCR,Aliyun,us-east-1,Q3,,0.5014064006351362,0.0,0.0,0.04,5.208333333333334e-07,False
ocr_aliyun_ap-southeast-1_q3,OCR,Aliyun,ap-southeast-1,Q3,,0.4184038985905543,0.0,0.0,0.04,5.533854166666667e-07,False
ocr_azure_westus2_q3,OCR,Azure,westus2,Q3,,0.5978175724056303,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_eastus_q3,OCR,Azure,eastus,Q3,,0.4981377095397335,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
ocr_azure_westeurope_q3,OCR,Azure,westeurope,Q3,,0.5499380407195695,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
ocr_azure_southeastasia_q3,OCR,Azure,southeastasia,Q3,,0.6165512818422488,0.0,0.0,0.0033333333333333,6.770833333333333e-07,False
label_detection_gcp_us-east1_q1,Label Detection,GCP,us-east1,Q1,,0.3521562780510723,0.0,0.0,0.005,6.510416666666666e-07,False
label_detection_gcp_us-west1_q1,Label Detection,GCP,us-west1,Q1,,0.3194527225872624,0.0,0.0,0.005,6.510416666666666e-07,False
label_detection_gcp_europe-west1_q1,Label Detection,GCP,europe-west1,Q1,,0.2334135040308499,0.0,0.0,0.005,6.510416666666666e-07,False
label_detection_gcp_asia-east1_q1,Label Detection,GCP,asia-east1,Q1,,0.2879457742844423,0.0,0.0,0.005,6.510416666666666e-07,False
label_detection_aws_us-west-2_q1,Label Detection,AWS,us-west-2,Q1,,0.2537116951766404,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
label_detection_aws_us-east-2_q1,Label Detection,AWS,us-east-2,Q1,,0.3588302815923868,0.0,0.0,0.0033333333333333,7.486979166666667e-07,False
label_detection_aws_ap-southeast-1_q1,Label Detection,AWS,ap-southeast-1,Q1,,0.3154739066657976,0.0,0.0,0.0033333333333333,8.138020833333334e-07,False
label_detection_aws_eu-central-1_q1,Label Detection,AWS,eu-central-1,Q1,,0.2576234358625531,0.0,0.0,0.0033333333333333,7.975260416666667e-07,False
label_detection_aliyun_cn-shanghai_q1,Label Detection,Aliyun,cn-shanghai,Q1,,0.3952382042238496,0.0,0.0,0.0009666666666666,5.631510416666666e-07,False
label_detection_aliyun_cn-beijing_q1,Label Detection,Aliyun,cn-beijing,Q1,,0.4181523085887572,0.0,0.0,0.0009666666666666,5.631510416666666e-07,False
label_detection_aliyun_us-east-1_q1,Label Detection,Aliyun,us-east-1,Q1,,0.3892087864092446,0.0,0.0,0.0009666666666666,5.208333333333334e-07,False
label_detection_aliyun_ap-southeast-1_q1,Label Detection,Aliyun,ap-southeast-1,Q1,,0.2475257913904668,0.0,0.0,0.0009666666666666,5.533854166666667e-07,False
label_detection_azure_westus2_q1,Label Detection,Azure,westus2,Q1,,0.3876408023111591,0.0,0.0,0.0033333333333333,5.989583333333334e-07,False
